闍ｱ隱槫錐,驕ｸ謇句錐,繝昴ず繧ｷ繝ｧ繝ｳ,謇螻槭メ繝ｼ繝,霄ｫ髟ｷ,菴馴㍾,逕溷ｹｴ譛域律,蟷ｴ鮨｢,鬮俶｡,螟ｧ蟄ｦ,蜃ｺ霄ｫ譬｡繝ｻ繝√ｼ繝豁ｴ(蜈ｨ譁),繧ｫ繝ざ繝ｪ,繝ｪ繝ｼ繧ｰ繝ｯ繝ｳ繧ｭ繝｣繝謨ｰ,URL,Text_Detail,繧ｭ繝｣繝ｪ繧｢驕肴ｭｴ,莉｣陦ｨ繧ｭ繝｣繝謨ｰ,International_Caps,Scraped_Url
Go Maeda,蜑咲伐 蜑,FL,繧ｳ繝吶Ν繧ｳ逾樊虻繧ｹ繝ぅ繝ｼ繝ｩ繝ｼ繧ｺｼ2025-26ｼ,178,99,1996.01.19,29,蝣ｱ蠕ｳ蟄ｦ蝨帝ｫ俶｡,譏取ｲｻ螟ｧ蟄ｦ,蝣ｱ蠕ｳ蟄ｦ蝨帝ｫ俶｡ 譏取ｲｻ螟ｧ蟄ｦ,A,7,https://league-one.jp/player/483957,,,,,
Hikaru Hashimoto,讖区悽 逧,FL,繧ｳ繝吶Ν繧ｳ逾樊虻繧ｹ繝ぅ繝ｼ繝ｩ繝ｼ繧ｺｼ2025-26ｼ,182,99,1993.05.17,32,譚ｱ豬ｷ螟ｧ蟄ｦ莉伜ｱ樔ｻｰ譏滄ｫ俶｡,譚ｱ豬ｷ螟ｧ蟄ｦ,譚ｱ豬ｷ螟ｧ蟄ｦ莉伜ｱ樔ｻｰ譏滄ｫ俶｡ 譚ｱ豬ｷ螟ｧ蟄ｦ,A,30,https://league-one.jp/player/483958,,,,,
Takara Imamura,莉頑搗 髯ｽ濶ｯ,FL,繧ｳ繝吶Ν繧ｳ逾樊虻繧ｹ繝ぅ繝ｼ繝ｩ繝ｼ繧ｺｼ2025-26ｼ,188,101,1997.01.17,28,譚ｱ遖丞ｲ｡鬮俶｡,蟶昜ｺｬ螟ｧ蟄ｦ,譚ｱ遖丞ｲ｡鬮俶｡ 蟶昜ｺｬ螟ｧ蟄ｦ,A,46,https://league-one.jp/player/483959,,,'17 U23,,
Gerard Cowley-tuioti,繧ｸ繧ｧ繝ｩ繝ｼ繝 繝ｻ繧ｫ繧ｦ繝ｪ繝ｼ繝医ぇ繧､繧ｪ繝ぅ,LO,繧ｳ繝吶Ν繧ｳ逾樊虻繧ｹ繝ぅ繝ｼ繝ｩ繝ｼ繧ｺｼ2025-26ｼ,197,115,1992.06.16,33,繧ｱ繝ｫ繧ｹ繝医Φ繝懊ｼ繧､繧ｺ鬮俶｡,,繧ｱ繝ｫ繧ｹ繝医Φ繝懊ｼ繧､繧ｺ鬮俶｡,A,52,https://league-one.jp/player/483960,,,,,
Naohiro Kotaki,蟆冗ｧ 蟆壼ｼ,LO,繧ｳ繝吶Ν繧ｳ逾樊虻繧ｹ繝ぅ繝ｼ繝ｩ繝ｼ繧ｺｼ2025-26ｼ,194,111,1992.06.13,33,鮖ｿ蜈仙ｳｶ螳滓･ｭ鬮俶｡,蟶昜ｺｬ螟ｧ蟄ｦ,鮖ｿ蜈仙ｳｶ螳滓･ｭ鬮俶｡ 蟶昜ｺｬ螟ｧ蟄ｦ,A,30,https://league-one.jp/player/483961,,,'10 鬮俶｡縲'16 U23縲∵律譛ｬ莉｣陦ｨ11CAP,,
Kenta Matsuoka,譚ｾ蟯｡ 雉｢螟ｪ,HO,繧ｳ繝吶Ν繧ｳ逾樊虻繧ｹ繝ぅ繝ｼ繝ｩ繝ｼ繧ｺｼ2025-26ｼ,175,101,1997.06.06,28,莠ｬ驛ｽ謌千ｫ鬮俶｡,譏取ｲｻ螟ｧ蟄ｦ,莠ｬ驛ｽ謌千ｫ鬮俶｡ 譏取ｲｻ螟ｧ蟄ｦ,A,54,https://league-one.jp/player/483962,,,'20 U23縲∵律譛ｬ莉｣陦ｨ4CAP,,
Shigure Takao,鬮伜ｰｾ 譎よｵ,PR,繧ｳ繝吶Ν繧ｳ逾樊虻繧ｹ繝ぅ繝ｼ繝ｩ繝ｼ繧ｺｼ2025-26ｼ,177,113,1996.08.15,29,遲醍ｴｫ蜿ｰ鬮俶｡,荵晏ｷ槫ｱ遶句､ｧ蟄ｦ,遲醍ｴｫ蜿ｰ鬮俶｡ 荵晏ｷ槫ｱ遶句､ｧ蟄ｦ,A,52,https://league-one.jp/player/483963,,,,,
Jiwon Gu,蜈ｷ 譎ｺ蜈,PR,繧ｳ繝吶Ν繧ｳ逾樊虻繧ｹ繝ぅ繝ｼ繝ｩ繝ｼ繧ｺｼ2025-26ｼ,183,116,1994.07.20,31,譌･譛ｬ譁㍼炊螟ｧ蟄ｦ髯ｱ樣ｫ俶｡,諡捺ｮ門､ｧ蟄ｦ,譌･譛ｬ譁㍼炊螟ｧ蟄ｦ髯ｱ樣ｫ俶｡ 諡捺ｮ門､ｧ蟄ｦ,A,36,https://league-one.jp/player/483964,,,'12 鬮俶｡縲∵律譛ｬ莉｣陦ｨ29CAP,,
Takayuki Watanabe,貂｡驍 髫ｹ,PR,繧ｳ繝吶Ν繧ｳ逾樊虻繧ｹ繝ぅ繝ｼ繝ｩ繝ｼ繧ｺｼ2025-26ｼ,180,117,1994.05.27,31,譛ｭ蟷悟ｱｱ縺ｮ謇矩ｫ俶｡,譚ｱ豬ｷ螟ｧ蟄ｦ,譛ｭ蟷悟ｱｱ縺ｮ謇矩ｫ俶｡ 譚ｱ豬ｷ螟ｧ蟄ｦ,A,9,https://league-one.jp/player/483965,,,譌･譛ｬ莉｣陦ｨ10CAP,,
Isileli Nakajima,荳ｭ蟲ｶ 繧､繧ｷ繝ｬ繝ｪ,PR,繧ｳ繝吶Ν繧ｳ逾樊虻繧ｹ繝ぅ繝ｼ繝ｩ繝ｼ繧ｺｼ2025-26ｼ,185,120,1989.07.09,36,繝ｪ繧｢繝帙リ鬮俶｡,豬夂ｵ梧ｸ亥､ｧ蟄ｦ,繝ｪ繧｢繝帙リ鬮俶｡ 豬夂ｵ梧ｸ亥､ｧ蟄ｦ,A,41,https://league-one.jp/player/483966,,,譌･譛ｬ莉｣陦ｨ9CAP,,
Hiroshi Yamashita,螻ｱ荳 陬募彰,PR,繧ｳ繝吶Ν繧ｳ逾樊虻繧ｹ繝ぅ繝ｼ繝ｩ繝ｼ繧ｺｼ2025-26ｼ,183,120,1986.01.01,40,驛ｽ蟲ｶ蟾･讌ｭ鬮俶｡,莠ｬ驛ｽ逕｣讌ｭ螟ｧ蟄ｦ,驛ｽ蟲ｶ蟾･讌ｭ鬮俶｡ 莠ｬ驛ｽ逕｣讌ｭ螟ｧ蟄ｦ,A,57,https://league-one.jp/player/483967,,,譌･譛ｬ莉｣陦ｨ51CAP,,
Waisake Raratubua,繝ｯ繧､繧ｵ繧ｱ 繝ｻ繝ｩ繝ｩ繝医ぇ繝悶い,LO,繧ｳ繝吶Ν繧ｳ逾樊虻繧ｹ繝ぅ繝ｼ繝ｩ繝ｼ繧ｺｼ2025-26ｼ,195,120,1998.03.17,27,繝ｩ繝医ぇ繝ｻ繧ｵ繝ｼ繝ｩ繝ｩ繝ｻ繧ｹ繧ｯ繝翫Γ繝｢繝ｪ繧｢繝ｫ繧ｹ繧ｯ繝ｼ繝ｫ鬮俶｡,譚ｱ豬ｷ螟ｧ蟄ｦ,繝ｩ繝医ぇ繝ｻ繧ｵ繝ｼ繝ｩ繝ｩ繝ｻ繧ｹ繧ｯ繝翫Γ繝｢繝ｪ繧｢繝ｫ繧ｹ繧ｯ繝ｼ繝ｫ 譚ｱ豬ｷ螟ｧ蟄ｦ,A,38,https://league-one.jp/player/483968,,,譌･譛ｬ莉｣陦ｨ5CAP,,
Brodie Retallick,繝悶Ο繝ぅ 繝ｻ繝ｬ繧ｿ繝ｪ繝け,LO,繧ｳ繝吶Ν繧ｳ逾樊虻繧ｹ繝ぅ繝ｼ繝ｩ繝ｼ繧ｺｼ2025-26ｼ,204,120,1991.05.31,34,繧ｯ繝ｩ繧､繧ｹ繝医メ繝｣繝ｼ繝√繝ｼ繧､繧ｺ鬮俶｡,,繧ｯ繝ｩ繧､繧ｹ繝医メ繝｣繝ｼ繝√繝ｼ繧､繧ｺ鬮俶｡,C,37,https://league-one.jp/player/483969,,,,,
Willie Potgieter,繝ｴ繧｣繝ｪ繝ｼ 繝ｻ繝昴ヨ繝偵お繝ち繝ｼ,,繧ｳ繝吶Ν繧ｳ逾樊虻繧ｹ繝ぅ繝ｼ繝ｩ繝ｼ繧ｺｼ2025-26ｼ,190,107,2002.01.05,24,繧｢繝輔Μ繧ｫ繝ｼ繝ｳ繧ｹ繝懊ｼ繧､繧ｺ鬮俶｡,,繧｢繝輔Μ繧ｫ繝ｼ繝ｳ繧ｹ繝懊ｼ繧､繧ｺ鬮俶｡,B,20,https://league-one.jp/player/483970,,,,,
Bryn Gatland,繝悶Μ繝ｳ 繝ｻ繧ｬ繝ヨ繝ｩ繝ｳ繝,SO,繧ｳ繝吶Ν繧ｳ逾樊虻繧ｹ繝ぅ繝ｼ繝ｩ繝ｼ繧ｺｼ2025-26ｼ,179,88,1995.05.10,30,繝上Α繝ｫ繝医Φ繝懊ｼ繧､繧ｺ鬮俶｡,,繝上Α繝ｫ繝医Φ繝懊ｼ繧､繧ｺ鬮俶｡,B,36,https://league-one.jp/player/483971,,,,,
Hikaru Moriwaki,譽ｮ閼 蜈,PR,繧ｳ繝吶Ν繧ｳ逾樊虻繧ｹ繝ぅ繝ｼ繝ｩ繝ｼ繧ｺｼ2025-26ｼ,176,108,2002.02.17,23,莠ｬ驛ｽ蟾･蟄ｦ髯｢鬮俶｡,豬夂ｵ梧ｸ亥､ｧ蟄ｦ,莠ｬ驛ｽ蟾･蟄ｦ髯｢鬮俶｡ 豬夂ｵ梧ｸ亥､ｧ蟄ｦ,A,3,https://league-one.jp/player/483972,,,,,
Daisuke Ito,莨願陸 螟ｧｩ,UTB,繧ｳ繝吶Ν繧ｳ逾樊虻繧ｹ繝ぅ繝ｼ繝ｩ繝ｼ繧ｺｼ2025-26ｼ,179,85,2001.07.15,24,譯占発蟄ｦ蝨帝ｫ俶｡,譌ｩ遞ｲ逕ｰ螟ｧ蟄ｦ,譯占発蟄ｦ蝨帝ｫ俶｡ 譌ｩ遞ｲ逕ｰ螟ｧ蟄ｦ,A,1,https://league-one.jp/player/483973,,,,,
Ryota Funabiki,闊ｹ譖ｳ 豸ｼ螟ｪ,WTB,繧ｳ繝吶Ν繧ｳ逾樊虻繧ｹ繝ぅ繝ｼ繝ｩ繝ｼ繧ｺｼ2025-26ｼ,178,83,2001.09.09,24,逾樊虻蟶らｫ狗ｧ大ｭｦ謚陦馴ｫ俶｡,莠ｬ驛ｽ逕｣讌ｭ螟ｧ蟄ｦ,逾樊虻蟶らｫ狗ｧ大ｭｦ謚陦馴ｫ俶｡ 莠ｬ驛ｽ逕｣讌ｭ螟ｧ蟄ｦ,A,4,https://league-one.jp/player/483974,,,,,
Kavaia Tagivetaua,繧ｫ繝ｴ繧｡繧､繧｢ 繝ｻ繧ｿ繧ｮ繝ｴ繧ｧ繧ｿ繧ｦ繧｢,LO,繧ｳ繝吶Ν繧ｳ逾樊虻繧ｹ繝ぅ繝ｼ繝ｩ繝ｼ繧ｺｼ2025-26ｼ,194,112,1997.08.08,28,繝上Α繝ｫ繝医Φ繝懊ｼ繧､繧ｺ鬮俶｡,逋ｽ魘主､ｧ蟄ｦ,繝上Α繝ｫ繝医Φ繝懊ｼ繧､繧ｺ鬮俶｡ 逋ｽ魘主､ｧ蟄ｦ,A,33,https://league-one.jp/player/485729,,,,,
Ardie Savea,繧｢繝ｼ繝ぅ 繝ｻ繧ｵ繝吶い,,繧ｳ繝吶Ν繧ｳ逾樊虻繧ｹ繝ぅ繝ｼ繝ｩ繝ｼ繧ｺｼ2025-26ｼ,184,105,1993.10.14,32,繝ｩ繝ｳ繧ｴ繧ｿ繧､繧ｫ繝ｬ繝ず,,繝ｩ繝ｳ繧ｴ繧ｿ繧､繧ｫ繝ｬ繝ず,C,18,https://league-one.jp/player/488117,,,,,
Anton Lienert-Brown,繧｢繝ｳ繝医Φ 繝ｻ繝ｬ繧､繝翫ｼ繝医ヶ繝ｩ繧ｦ繝ｳ,CTB,繧ｳ繝吶Ν繧ｳ逾樊虻繧ｹ繝ぅ繝ｼ繝ｩ繝ｼ繧ｺｼ2025-26ｼ,185,96,1995.04.15,30,繝ｯ繧､繧ｫ繝亥､ｧ蟄ｦ鬮俶｡,繧ｯ繝ｩ繧､繧ｹ繝医メ繝｣繝ｼ繝√繝ｼ繧､繧ｺ鬮俶｡螟ｧ蟄ｦ,繝ｯ繧､繧ｫ繝亥､ｧ蟄ｦ 繧ｯ繝ｩ繧､繧ｹ繝医メ繝｣繝ｼ繝√繝ｼ繧､繧ｺ鬮俶｡,C,4,https://league-one.jp/player/488118,,,,,
Maurice Marks,繝｢繝ｼ繝ｪ繧ｹ 繝ｻ繝槭ｼ繧ｯ繧ｹ,WTB,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,180,90,2001.04.24,24,HoerskoolNoordheuwel鬮俶｡,譚ｱ豢句､ｧ蟄ｦ,HoerskoolNoordheuwel 譚ｱ豢句､ｧ蟄ｦ,A,2,https://league-one.jp/player/484028,,,,,
Juan Wilson,繝ｦ繧｢繝ｳ 繝ｻ繧ｦ繧｣繝ｫ繧ｽ繝ｳ,FL,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,190,108,2001.04.18,24,PaarlGymnasium鬮俶｡,遶区ｭ｣螟ｧ蟄ｦ,PaarlGymnasium 遶区ｭ｣螟ｧ蟄ｦ,A,3,https://league-one.jp/player/484029,,,,,
Makito Ishikawa,遏ｳ蟾 讒吩ｺｺ,PR,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,184,115,2002.10.06,23,譌･譛ｬ闊ｪ遨ｺ遏ｳ蟾晞ｫ俶｡,譚ｱ豢句､ｧ蟄ｦ,譌･譛ｬ闊ｪ遨ｺ遏ｳ蟾 譚ｱ豢句､ｧ蟄ｦ,A,0,https://league-one.jp/player/484030,,,,,
Kantaro Tajima,逕ｰ蟲ｶ 雋ｫ螟ｪ驛,LO,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,197,105,2003.02.26,22,譚ｱ遖丞ｲ｡鬮俶｡,譏取ｲｻ螟ｧ蟄ｦ,譚ｱ遖丞ｲ｡鬮俶｡ 譏取ｲｻ螟ｧ蟄ｦ,A,0,https://league-one.jp/player/484031,,,,,
Lisala Finau,繝ｪ繧ｵ繝ｩ 繝ｻ繝輔ぅ繝翫え,PR,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,189,125,2002.06.20,23,髱呈｣ｮ螻ｱ逕ｰ鬮俶｡,螟ｧ譚ｱ譁㍾喧螟ｧ蟄ｦ,髱呈｣ｮ螻ｱ逕ｰ鬮俶｡ 螟ｧ譚ｱ譁㍾喧螟ｧ蟄ｦ,A,11,https://league-one.jp/player/484032,,,,,
Kenji Sato,菴占陸 蛛･谺｡,HO,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,177,105,2003.01.04,23,譯占発蟄ｦ蝨帝ｫ俶｡,譌ｩ遞ｲ逕ｰ螟ｧ蟄ｦ,譯占発蟄ｦ蝨帝ｫ俶｡ 譌ｩ遞ｲ逕ｰ螟ｧ蟄ｦ,A,16,https://league-one.jp/player/484033,,,'24 XV縲'25 XV縲∵律譛ｬ莉｣陦ｨ9CAP,,
Kumsu Lee,譚 骭ｦ蟇ｿ,SH,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,175,82,2002.09.05,23,螟ｧ髦ｪ譛晞ｮｮ鬮倡ｴ壼ｭｦ譬｡,蟶昜ｺｬ螟ｧ蟄ｦ,螟ｧ髦ｪ譛晞ｮｮ鬮倡ｴ壼ｭｦ譬｡ 蟶昜ｺｬ螟ｧ蟄ｦ,A,2,https://league-one.jp/player/484034,,,,,
Tom Parton,繝医Β 繝ｻ繝代ｼ繝医Φ,UTB,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,178,90,1998.02.02,27,繧ｦ繧ｧ繝ｪ繝ｳ繧ｰ繝医Φ鬮俶｡,繧ｦ繧ｧ繝ｪ繝ｳ繝医Φ繧ｫ繝ｬ繝ず,繧ｦ繧ｧ繝ｪ繝ｳ繧ｰ繝医Φ鬮俶｡ 繧ｦ繧ｧ繝ｪ繝ｳ繝医Φ繧ｫ繝ｬ繝ず,B,10,https://league-one.jp/player/484035,,,,,
Viliami Afu Kaipouli,繧ｫ繧､繝昴え繝ｪ 繝ｴ繧｣繝ｪ繧｢繝溘い繝,,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,189,115,1997.09.28,28,繝倥う繧ｹ繝ぅ繝ｳ繧ｰ繧ｹ繝懊ｼ繧､繧ｺ鬮俶｡,譌･譛ｬ譁㍼炊螟ｧ蟄ｦ,繝倥う繧ｹ繝ぅ繝ｳ繧ｰ繧ｹ繝懊ｼ繧､繧ｺ鬮俶｡ 譌･譛ｬ譁㍼炊螟ｧ蟄ｦ,A,21,https://league-one.jp/player/484036,,,,,
Joshua Nohra,繧ｸ繝ｧ繧ｷ繝･繧｢ 繝ｻ繝弱ｼ繝ｩ,WTB,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,180,88,1996.06.11,29,StPatrickCollege鬮俶｡,WesternSydney螟ｧ蟄ｦ,StPatrickCollege WesternSydney,A,36,https://league-one.jp/player/484037,,,,,
Takaya Saito,鮨願陸 隱牙悼,CTB,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,181,93,2001.01.02,25,譯千函隨ｬ荳鬮俶｡,譏取ｲｻ螟ｧ蟄ｦ,譯千函隨ｬ荳鬮俶｡ 譏取ｲｻ螟ｧ蟄ｦ,A,7,https://league-one.jp/player/484038,,,,,
Yusaku Kihara,譛ｨ蜴 蜆ｪ菴,PR,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,176,106,2000.12.11,25,譚ｱ遖丞ｲ｡鬮俶｡,遲第ｳ｢螟ｧ蟄ｦ,譚ｱ遖丞ｲ｡鬮俶｡ 遲第ｳ｢螟ｧ蟄ｦ,A,3,https://league-one.jp/player/484039,,,'18 鬮俶｡縲'20 U23,,
Lood de Jager,繝ｫ繝ｼ繝 繝ｻ繝Ζ繝上ｼ,LO,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,206,125,1992.12.17,33,HuyenoteSpringHighSchool鬮俶｡,North-WestUniversity螟ｧ蟄ｦ,HuyenoteSpringHighSchool North-WestUniversity,C,40,https://league-one.jp/player/484040,,,,,
Damian de Allende,繝繝溘い繝ｳ 繝ｻ繝い繝ｬ繝ｳ繝,CTB,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,190,105,1991.11.25,34,繝溘Ν繝翫ｼ繝医Φ鬮俶｡,繧ｱ繝ｼ繝励ち繧ｦ繝ｳ螟ｧ蟄ｦ,繝溘Ν繝翫ｼ繝医Φ鬮俶｡ 繧ｱ繝ｼ繝励ち繧ｦ繝ｳ螟ｧ蟄ｦ,C,46,https://league-one.jp/player/484041,,,,,
Liam Mitchell,繝ｪ繧｢繝 繝ｻ繝溘ャ繝√ぉ繝ｫ,LO,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,197,117,1995.10.10,30,PalmerstonNorthBoys鬮俶｡,,PalmerstonNorthBoys,B,47,https://league-one.jp/player/484042,,,,,
Daniel Perez,繝繝九お繝ｫ 繝ｻ繝壹Ξ繧ｺ,PR,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,185,108,1997.04.22,28,繧ｻ繝ｳ繝医ヴ繝ｼ繧ｿ繝ｼ繧ｺ鬮俶｡,逋ｽ魘主､ｧ蟄ｦ,繧ｻ繝ｳ繝医ヴ繝ｼ繧ｿ繝ｼ繧ｺ鬮俶｡ 逋ｽ魘主､ｧ蟄ｦ,A,23,https://league-one.jp/player/484043,,,,,
Seijun Kawasaki,蟾晏ｴ 貂⒨ｴ,WTB,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,191,100,1999.06.17,26,逶帛ｲ｡蟾･鬮俶｡,髢｢譚ｱ蟄ｦ髯｢螟ｧ螟ｧ蟄ｦ,逶帛ｲ｡蟾･鬮俶｡ 髢｢譚ｱ蟄ｦ髯｢螟ｧ,A,3,https://league-one.jp/player/484044,,,,,
Tomoki Osada,髟ｷ逕ｰ 譎ｺ蟶,CTB,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,179,90,1999.11.25,26,譚ｱ豬ｷ螟ｧ莉ｰ譏滄ｫ俶｡,譌ｩ遞ｲ逕ｰ螟ｧ蟄ｦ,譚ｱ豬ｷ螟ｧ莉ｰ譏滄ｫ俶｡ 譌ｩ遞ｲ逕ｰ螟ｧ蟄ｦ,A,52,https://league-one.jp/player/484045,,,'17 鬮俶｡縲'19 U20縲'19 U23縲∵律譛ｬ莉｣陦ｨ26CAP,,
Goro Hashimoto,讖区悽 蜷ｾ驛,LO,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,191,101,1999.07.23,26,豺ｱ隹ｷ鬮俶｡,荳ｭ螟ｮ螟ｧ蟄ｦ,豺ｱ隹ｷ鬮俶｡ 荳ｭ螟ｮ螟ｧ蟄ｦ,A,0,https://league-one.jp/player/484046,,,,,
Marika Koroibete,繝槭Μ繧ｫ 繝ｻ繧ｳ繝ｭ繧､繝ｳ繝吶ユ,WTB,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,182,96,1992.07.26,33,繝翫せ繧､繝碁ｫ俶｡,,繝翫せ繧､繝碁ｫ俶｡,C,56,https://league-one.jp/player/484047,,,,,
Vince Aso,繝ｴ繧｣繝ｳ繧ｹ 繝ｻ繧｢繧ｽ,CTB,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,185,90,1995.01.05,31,繧ｻ繝ｳ繝医ヴ繝ｼ繧ｿ繝ｼ繧ｺ鬮俶｡,繝薙け繝医Μ繧｢螟ｧ蟄ｦ,繧ｻ繝ｳ繝医ヴ繝ｼ繧ｿ繝ｼ繧ｺ鬮俶｡ 繝薙け繝医Μ繧｢螟ｧ蟄ｦ,A,54,https://league-one.jp/player/484048,,,,,
Lachlan Boshier,繝ｩ繧ｯ繝ｩ繝ｳ 繝ｻ繝懊ｼ繧ｷ繧ｧ繝ｼ,FL,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,191,104,1994.11.16,31,繝九Η繝ｼ繝励Μ繝槭せ繝懊ｼ繧､繧ｺ繝上う繧ｹ繧ｯ繝ｼ繝ｫ鬮俶｡,,繝九Η繝ｼ繝励Μ繝槭せ繝懊ｼ繧､繧ｺ繝上う繧ｹ繧ｯ繝ｼ繝ｫ,A,62,https://league-one.jp/player/484049,,,,,
Hondo Atora,譛ｬ蝣 譚剰剋,SH,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,169,85,1998.11.09,27,蝨句ｭｸ髯｢螟ｧ蟄ｸ譬惠鬮俶｡,譌･譛ｬ菴楢ご螟ｧ蟄ｦ,蝨句ｭｸ髯｢螟ｧ蟄ｸ譬惠鬮俶｡ 譌･譛ｬ菴楢ご螟ｧ蟄ｦ,A,1,https://league-one.jp/player/484050,,,'18 U20縲'18 U23,,
Kyohei Yamasawa,螻ｱ豐｢ 莠ｬ蟷ｳ,SO,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,176,85,1998.08.17,27,豺ｱ隹ｷ鬮俶｡,譏取ｲｻ螟ｧ蟄ｦ,豺ｱ隹ｷ鬮俶｡ 譏取ｲｻ螟ｧ蟄ｦ,A,34,https://league-one.jp/player/484051,,,'17 U20縲'18 U20,,
Shota Fukui,遖丈ｺ 鄙泌､ｧ,FL,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,186,101,1999.09.28,26,譚ｱ遖丞ｲ｡鬮俶｡,,譚ｱ遖丞ｲ｡鬮俶｡,A,51,https://league-one.jp/player/484052,,,'17 鬮俶｡縲'17 U20縲'18 U20縲'19 U20縲'19 U23縲∵律譛ｬ莉｣陦ｨ3CAP,,
Esei Haangana,繧ｨ繧ｻ繧､ 繝ｻ繝上い繝ｳ繧ｬ繝,LO,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,198,120,1999.04.21,26,繧ｻ繝ｳ繝医繝ｼ繝ｫ繧ｺ繧ｫ繝医Μ繝け繧ｫ繝ｬ繝ず,,繧ｻ繝ｳ繝医繝ｼ繝ｫ繧ｺ繧ｫ繝医Μ繝け繧ｫ繝ｬ繝ず,A,46,https://league-one.jp/player/484053,,,,,
Taiki Fujii,阯､莠 螟ｧ蝟,PR,蝓ｼ邇峨ヱ繝翫た繝九ャ繧ｯ繝ｯ繧､繝ｫ繝峨リ繧､繝ｼ2025-26ｼ,183,114,1998.01.04,28,鮟呈ｲ｢蟆ｻ蟾･鬮俶｡,螟ｧ譚ｱ譁㍾喧螟ｧ蟄ｦ,鮟呈ｲ｢蟆ｻ蟾･鬮俶｡ 螟ｧ譚ｱ譁㍾喧螟ｧ蟄ｦ,A,45,https://league-one.jp/player/484054,,,'17 U20縲'17 U23,,
