英語名,選手名,ポジション,所属チーム,身長,体重,生年月日,年齢,高校,大学,出身校・チーム歴(全文),カテゴリ,リーグワンキャップ数,URL,Text_Detail,キャリア遍歴,代表キャップ数,International_Caps,Scraped_Url
Lood de Jager,ルード ・デヤハー,LO,埼玉パナソニックワイルドナイツ（2025-26）,206,125,1992.12.17,33,HuyenoteSpringHighSchool,North-WestUniversity,HuyenoteSpringHighSchool North-WestUniversity,C,40,https://league-one.jp/player/484040,,,,,
Damian de Allende,ダミアン ・デアレンデ,CTB,埼玉パナソニックワイルドナイツ（2025-26）,190,105,1991.11.25,34,ミルナートン,ケープタウン大学,ミルナートン高校 ケープタウン大学,C,46,https://league-one.jp/player/484041,,,,,
Liam Mitchell,リアム ・ミッチェル,LO,埼玉パナソニックワイルドナイツ（2025-26）,197,117,1995.10.10,30,PalmerstonNorthBoys,,PalmerstonNorthBoys,B,47,https://league-one.jp/player/484042,,,,,
Daniel Perez,ダニエル ・ペレズ,PR,埼玉パナソニックワイルドナイツ（2025-26）,185,108,1997.04.22,28,セントピーターズ,白鴎大学,セントピーターズ高校 白鴎大学,A,23,https://league-one.jp/player/484043,,,,,
Seijun Kawasaki,川崎 清純,WTB,埼玉パナソニックワイルドナイツ（2025-26）,191,100,1999.06.17,26,盛岡工高校,関東学院大大学,盛岡工高校 関東学院大,A,3,https://league-one.jp/player/484044,,,,,
Tomoki Osada,長田 智希,CTB,埼玉パナソニックワイルドナイツ（2025-26）,179,90,1999.11.25,26,東海大仰星高校,早稲田大学,東海大仰星高校 早稲田大学,A,52,https://league-one.jp/player/484045,,,'17 高校、'19 U20、'19 U23、日本代表26CAP,,
Goro Hashimoto,橋本 吾郎,LO,埼玉パナソニックワイルドナイツ（2025-26）,191,101,1999.07.23,26,深谷高校,中央大学,深谷高校 中央大学,A,0,https://league-one.jp/player/484046,,,,,
Marika Koroibete,マリカ ・コロインベテ,WTB,埼玉パナソニックワイルドナイツ（2025-26）,182,96,1992.07.26,33,ナスイヌ,,ナスイヌ高校,C,56,https://league-one.jp/player/484047,,,,,
Vince Aso,ヴィンス ・アソ,CTB,埼玉パナソニックワイルドナイツ（2025-26）,185,90,1995.01.05,31,セントピーターズ,ビクトリア大学,セントピーターズ高校 ビクトリア大学,A,54,https://league-one.jp/player/484048,,,,,
Lachlan Boshier,ラクラン ・ボーシェー,FL,埼玉パナソニックワイルドナイツ（2025-26）,191,104,1994.11.16,31,ニュープリマスボーイズハイスクール,,ニュープリマスボーイズハイスクール,A,62,https://league-one.jp/player/484049,,,,,
Hondo Atora,本堂 杏虎,SH,埼玉パナソニックワイルドナイツ（2025-26）,169,85,1998.11.09,27,國學院大學栃木高校,日本体育大学,國學院大學栃木高校 日本体育大学,A,1,https://league-one.jp/player/484050,,,'18 U20、'18 U23,,
Kyohei Yamasawa,山沢 京平,SO,埼玉パナソニックワイルドナイツ（2025-26）,176,85,1998.08.17,27,深谷高校,明治大学,深谷高校 明治大学,A,34,https://league-one.jp/player/484051,,,'17 U20、'18 U20,,
Shota Fukui,福井 翔大,FL,埼玉パナソニックワイルドナイツ（2025-26）,186,101,1999.09.28,26,東福岡高校,,東福岡高校,A,51,https://league-one.jp/player/484052,,,'17 高校、'17 U20、'18 U20、'19 U20、'19 U23、日本代表3CAP,,
Esei Haangana,エセイ ・ハアンガナ,LO,埼玉パナソニックワイルドナイツ（2025-26）,198,120,1999.04.21,26,セントポールズカトリックカレッジ,,セントポールズカトリックカレッジ,A,46,https://league-one.jp/player/484053,,,,,
Taiki Fujii,藤井 大喜,PR,埼玉パナソニックワイルドナイツ（2025-26）,183,114,1998.01.04,28,黒沢尻工高校,大東文化大学,黒沢尻工高校 大東文化大学,A,45,https://league-one.jp/player/484054,,,'17 U20、'17 U23,,
Ben Gunter,ベン ・ガンター,FL,埼玉パナソニックワイルドナイツ（2025-26）,195,120,1997.10.24,28,ブリスベンボーイズカレッジ,,ブリスベンボーイズカレッジ,A,43,https://league-one.jp/player/484055,,,日本代表17CAP,,
Tsubasa Arai,新井 翼,WTB,埼玉パナソニックワイルドナイツ（2025-26）,175,88,1997.07.14,28,流経大柏高校,帝京大学,流経大柏高校 帝京大学,A,0,https://league-one.jp/player/484056,,,,,
Dylan Riley,ディラン ・ライリー,CTB,埼玉パナソニックワイルドナイツ（2025-26）,187,102,1997.05.02,28,TheSouthportSchool（サウスポート高校）,,TheSouthportSchool（サウスポート高校）,A,62,https://league-one.jp/player/484057,,,日本代表38CAP,,
Sho Furuhata,古畑 翔,PR,埼玉パナソニックワイルドナイツ（2025-26）,185,118,1996.12.10,29,大阪桐蔭高校,大東文化大学,大阪桐蔭高校 大東文化大学,A,5,https://league-one.jp/player/484058,,,'25 XV、日本代表1CAP,,
Kazuma Shimane,島根 一磨,HO,埼玉パナソニックワイルドナイツ（2025-26）,175,103,1996.11.30,29,天理高校,天理大学,天理高校 天理大学,A,10,https://league-one.jp/player/484059,,,'19 U23,,
Koki Takeyama,竹山 晃暉,WTB,埼玉パナソニックワイルドナイツ（2025-26）,175,84,1996.09.25,29,御所実業高校,帝京大学,御所実業高校 帝京大学,A,56,https://league-one.jp/player/484060,,,'16 U23、'17 U23、日本代表1CAP,,
Itsuki Onishi,大西 樹,FL,埼玉パナソニックワイルドナイツ（2025-26）,185,102,1995.12.09,30,旭川工高校,流経大学,旭川工高校 流経大学,A,47,https://league-one.jp/player/484061,,,,,
Ryuji Noguchi,野口 竜司,FB,埼玉パナソニックワイルドナイツ（2025-26）,177,83,1995.07.15,30,東海大仰星高校,東海大学,東海大仰星高校 東海大学,A,58,https://league-one.jp/player/484062,,,'12 高校、'15 U20、'15 U23、'17 U23、日本代表14CAP,,
Taiki Koyama,小山 大輝,SH,埼玉パナソニックワイルドナイツ（2025-26）,171,74,1994.10.31,31,芦別高校,大東文化大学,芦別高校 大東文化大学,A,68,https://league-one.jp/player/484063,,,'12 高校、日本代表7CAP,,
Takuya Yamasawa,山沢 拓也,SO,埼玉パナソニックワイルドナイツ（2025-26）,176,84,1994.09.21,31,深谷高校,筑波大学,深谷高校 筑波大学,A,46,https://league-one.jp/player/484064,,,'13 U23、日本代表10CAP,,
Tomohito Miyakawa,宮川 智海,LO,埼玉パナソニックワイルドナイツ（2025-26）,191,106,1994.09.06,31,秋田工高校,関東学院大学,秋田工高校 関東学院大学,A,2,https://league-one.jp/player/484065,,,'12 高校,,
Atsushi Sakate,坂手 淳史,HO,埼玉パナソニックワイルドナイツ（2025-26）,180,104,1993.06.21,32,京都成章高校,帝京大学,京都成章高校 帝京大学,A,68,https://league-one.jp/player/484066,,,'13 U23、日本代表47CAP,,
Ryota Hasegawa,長谷川 崚太,FL,埼玉パナソニックワイルドナイツ（2025-26）,188,100,1993.05.12,32,日本航空高校,大東文化大学,日本航空高校 大東文化大学,A,36,https://league-one.jp/player/484067,,,,,
Shunsuke Nunomaki,布巻 峻介,FL,埼玉パナソニックワイルドナイツ（2025-26）,178,98,1992.07.13,33,東福岡高校,早稲田大学,東福岡高校 早稲田大学,A,16,https://league-one.jp/player/484068,,,'10 高校、'11 U20、日本代表7CAP,,
Yuji Shimogama,下釜 優次,HO,埼玉パナソニックワイルドナイツ（2025-26）,178,102,1992.01.25,33,鹿児島玉龍高校,筑波大学,鹿児島玉龍高校 筑波大学,A,2,https://league-one.jp/player/484069,,,,,
Craig Millar,クレイグ ・ミラー,PR,埼玉パナソニックワイルドナイツ（2025-26）,186,116,1990.10.29,35,オタゴボーイズハイスクール,オタゴ大学,オタゴボーイズハイスクール オタゴ大学,A,67,https://league-one.jp/player/484070,,,日本代表17CAP,,
Keita Inagaki,稲垣 啓太,PR,埼玉パナソニックワイルドナイツ（2025-26）,186,116,1990.06.02,35,新潟工業高校,関東学院大学,新潟工業高校 関東学院大学,A,50,https://league-one.jp/player/484071,,,'08 U20、日本代表53CAP,,
AsaeliAi Valu,ヴァル アサエリ愛,PR,埼玉パナソニックワイルドナイツ（2025-26）,187,115,1989.05.07,36,正智深谷高校,埼玉工業大学,正智深谷高校 埼玉工業大学,A,65,https://league-one.jp/player/484072,,,日本代表30CAP,,
Ockie Barnard,オッキー ・バーナード,LO,埼玉パナソニックワイルドナイツ（2025-26）,200,113,2001.04.20,24,ウェストビルボーイズ,,ウェストビルボーイズ高校,B,7,https://league-one.jp/player/484073,,,,,
Xavier Stowers,ゼイビア ・スタワーズ,FL,埼玉パナソニックワイルドナイツ（2025-26）,196,114,2003.07.28,22,IpswichGrammarSchool,,IpswichGrammarSchool,B,4,https://league-one.jp/player/484074,,,,,
Taniela Vea,タニエラ ・ヴェア,PR,埼玉パナソニックワイルドナイツ（2025-26）,184,125,2000.04.24,25,目黒学院,東洋大学,目黒学院 東洋大学,A,2,https://league-one.jp/player/484075,,,,,
Orion Schmok,シュモック オライオン,LO,埼玉パナソニックワイルドナイツ（2025-26）,181,100,2001.08.01,24,マウントアルバートグラマースクール,慶應義塾大学,マウントアルバートグラマースクール 慶應義塾大学,A,0,https://league-one.jp/player/484076,,,,,
Shuto Nobuhara,延原 秀飛,No8,埼玉パナソニックワイルドナイツ（2025-26）,182,103,2001.12.06,24,京都成章高校,帝京大学,京都成章高校 帝京大学,A,0,https://league-one.jp/player/484077,,,,,
Hayata Taniyama,谷山 隼大,No8,埼玉パナソニックワイルドナイツ（2025-26）,184,95,2001.12.10,24,福岡高校,筑波大学,福岡高校 筑波大学,A,4,https://league-one.jp/player/484078,,,,,
Shu Hagihara,萩原 周,SH,埼玉パナソニックワイルドナイツ（2025-26）,173,77,2001.07.13,24,大阪桐蔭高校,明治大学,大阪桐蔭高校 明治大学,A,5,https://league-one.jp/player/484079,,,,,
Yoshiaki Taniguchi,谷口 宜顕,FB,埼玉パナソニックワイルドナイツ（2025-26）,172,80,2001.11.20,24,東海大大阪仰星高校,東海大学,東海大大阪仰星高校 東海大学,A,0,https://league-one.jp/player/484080,,,,,
Jack Cornelsen,ジャック ・コーネルセン,LO,埼玉パナソニックワイルドナイツ（2025-26）,195,110,1994.10.13,31,ブリスベングラマースクール,University,ブリスベングラマースクール University of Queensland,A,69,https://league-one.jp/player/485708,,,日本代表29CAP,,
Tjay Clarke,ティージェイ ・クラーク,WTB,東芝ブレイブルーパス東京（2025-26）,181,91,2002.08.20,23,StPatrick'sCollege,,StPatrick'sCollege,B,3,https://league-one.jp/player/484341,,,,,
Netani Vakayalia,ネタニ ・ヴァカヤリア,WTB,東芝ブレイブルーパス東京（2025-26）,181,94,1998.02.25,27,LeleanMemorialSchool,,LeleanMemorialSchool,A,43,https://league-one.jp/player/484342,,,,,
Callum MacDonald,カラム ・マクドナルド,LO,東芝ブレイブルーパス東京（2025-26）,204,123,2000.03.06,25,IonaCollege,,IonaCollege,A,5,https://league-one.jp/player/484343,,,,,
Michael Stolberg,マイケル ・ストーバーグ,LO,東芝ブレイブルーパス東京（2025-26）,202,116,1992.03.27,33,AnglicanChurchGrammarSchool,,AnglicanChurchGrammarSchool,A,54,https://league-one.jp/player/484344,,,,,
Andrew Makalio,アンドリュー ・マカリオ,HO,東芝ブレイブルーパス東京（2025-26）,185,129,1992.01.22,33,OnehungaHighSchool,,OnehungaHighSchool,B,10,https://league-one.jp/player/484345,,,,,
Taishiro Kido,木戸 大士郎,FL,東芝ブレイブルーパス東京（2025-26）,186,104,2002.07.26,23,常翔学園高校,明治大学,常翔学園高校 明治大学,A,2,https://league-one.jp/player/484346,,,'25 XV,,
Yuta Okamura,岡村 優太,WTB,東芝ブレイブルーパス東京（2025-26）,176,83,2002.08.26,23,東海大学付属大阪仰星高校,東海大学,東海大学付属大阪仰星高校 東海大学,A,0,https://league-one.jp/player/484347,,,,,
Yohei Kobayashi,小林 洋平,PR,東芝ブレイブルーパス東京（2025-26）,177,108,2003.03.27,22,東福岡高校,専修大学,東福岡高校 専修大学,A,0,https://league-one.jp/player/484348,,,,,
Ken Hiyoshi,日吉 健,HO,東芝ブレイブルーパス東京（2025-26）,180,105,2002.08.29,23,大阪産業大学附属高校,京都産業大学,大阪産業大学附属高校 京都産業大学,A,2,https://league-one.jp/player/484349,,,,,
Kim Suryung,金 秀隆,WTB,東芝ブレイブルーパス東京（2025-26）,186,85,1998.01.16,27,大阪朝鮮高校,朝鮮大学校,大阪朝鮮高校 朝鮮大学校,A,27,https://league-one.jp/player/484350,,,,,
Rinpei Sakaki,酒木 凜平,HO,東芝ブレイブルーパス東京（2025-26）,178,104,1999.11.12,26,御所実業高校,大東文化大学,御所実業高校 大東文化大学,A,10,https://league-one.jp/player/484351,,,,,
Gentaro Ikenaga,池永 玄太郎,CTB,東芝ブレイブルーパス東京（2025-26）,182,100,1997.01.27,28,上宮太子高校,天理大学,上宮太子高校 天理大学,A,5,https://league-one.jp/player/484352,,,,,
Asaeli Lausii,アサエリ ・ラウシー,LO,東芝ブレイブルーパス東京（2025-26）,190,113,2000.01.26,25,日本航空高校,京都産業大学,日本航空高等学校 京都産業大学,A,6,https://league-one.jp/player/484353,,,,,
Rikyu Yamakawa,山川 力優,PR,東芝ブレイブルーパス東京（2025-26）,175,113,1997.05.04,28,天理高校,天理大学,天理高校 天理大学,A,3,https://league-one.jp/player/484354,,,,,
Sena Kimura,木村 星南,PR,東芝ブレイブルーパス東京（2025-26）,176,108,1999.06.24,26,大阪産業大学附属高校,東海大学,大阪産業大学附属高校 東海大学,A,51,https://league-one.jp/player/484355,,,'25 XV、日本代表3CAP,,
Jone Naikabula,ジョネ ・ナイカブラ,WTB,東芝ブレイブルーパス東京（2025-26）,177,95,1994.04.12,31,ケルストンボーイズ,摂南大学,ケルストンボーイズ 摂南大学,A,52,https://league-one.jp/player/484356,,,日本代表17CAP,,
Seta Tamanivalu,セタ ・タマニバル,CTB,東芝ブレイブルーパス東京（2025-26）,189,104,1992.01.23,33,SaintKentigernCollege（セントケンティガンカレッジ）,,SaintKentigernCollege（セントケンティガンカレッジ）,C,60,https://league-one.jp/player/484357,,,,,
Michael Leitch,リーチ マイケル,No8,東芝ブレイブルーパス東京（2025-26）,189,113,1988.10.07,37,札幌山の手高校,東海大学,札幌山の手高校 東海大学,A,61,https://league-one.jp/player/484358,,,日本代表92CAP,,
Jacob Pierce,ジェイコブ ・ピアス,LO,東芝ブレイブルーパス東京（2025-26）,201,106,1997.09.10,28,ロズミニカレッジ,,ロズミニカレッジ高校,A,60,https://league-one.jp/player/484359,,,,,
Toshiki Kuwayama,桑山 聖生,FB,東芝ブレイブルーパス東京（2025-26）,184,95,1996.06.06,29,鹿児島実業高校,早稲田大学,鹿児島実業高校 早稲田大学,A,19,https://league-one.jp/player/484360,,,'15 U20、'15 U23,,
Shohei Toyoshima,豊島 翔平,FB,東芝ブレイブルーパス東京（2025-26）,175,87,1989.01.09,36,東海大相模高校,東海大学,東海大相模高校 東海大学,A,31,https://league-one.jp/player/484361,,,,,
Atsuki Kuwayama,桑山 淳生,WTB,東芝ブレイブルーパス東京（2025-26）,183,90,1997.11.15,28,鹿児島実業高校,早稲田大学,鹿児島実業高校 早稲田大学,A,27,https://league-one.jp/player/484362,,,,,
Masaki Hamada,濱田 将暉,WTB,東芝ブレイブルーパス東京（2025-26）,174,80,1996.07.13,29,京都成章高校,京都産業大学,京都成章高校 京都産業大学,A,25,https://league-one.jp/player/484363,,,,,
Taichi Mano,眞野 泰地,CTB,東芝ブレイブルーパス東京（2025-26）,173,90,1997.06.01,28,東海大学付属大阪仰星高校,東海大学,東海大学付属大阪仰星高等学校 東海大学,A,39,https://league-one.jp/player/484364,,,'16 U20、'17 U20、'17 U23、'18 U23,,
Takuro Matsunaga,松永 拓朗,SO,東芝ブレイブルーパス東京（2025-26）,172,81,1998.08.13,27,大阪産業大学附属高校,天理大学,大阪産業大学附属高校 天理大学,A,68,https://league-one.jp/player/484365,,,'25 XV,,
Yuhei Sugiyama,杉山 優平,SH,東芝ブレイブルーパス東京（2025-26）,169,76,1997.06.05,28,大阪桐蔭高校,筑波大学,大阪桐蔭高校 筑波大学,A,49,https://league-one.jp/player/484366,,,,,
Kohei Takahashi,高橋 昴平,SH,東芝ブレイブルーパス東京（2025-26）,167,79,1996.04.12,29,長崎南山高校,専修大学,長崎南山高校 専修大学,A,20,https://league-one.jp/player/484367,,,,,
Takahiro Ogawa,小川 高廣,SH,東芝ブレイブルーパス東京（2025-26）,170,77,1991.03.18,34,東福岡高校,日本大学,東福岡高校 日本大学,A,46,https://league-one.jp/player/484368,,,'13 U23、日本代表3CAP,,
Yoshitaka Tokunaga,徳永 祥尭,No8,東芝ブレイブルーパス東京（2025-26）,186,105,1992.04.10,33,関西学院高等部,関西学院大学,関西学院高等部 関西学院大学,A,49,https://league-one.jp/player/484369,,,'13 U23、日本代表15CAP,,
Takeshi Sasaki,佐々木 剛,FL,東芝ブレイブルーパス東京（2025-26）,180,101,1997.04.17,28,八戸西高校,大東文化大学,青森県立八戸西高等学校 大東文化大学,A,54,https://league-one.jp/player/484370,,,,,
Hiroki Yamamoto,山本 浩輝,FL,東芝ブレイブルーパス東京（2025-26）,187,95,1992.11.17,33,石見智翠館高校,筑波大学,石見智翠館高校 筑波大学,A,25,https://league-one.jp/player/484371,,,'13 U23、日本代表6CAP,,
Shoichi Takagi,高城 勝一,LO,東芝ブレイブルーパス東京（2025-26）,197,112,1998.06.29,27,汎愛高校,摂南大学,汎愛高校 摂南大学,A,0,https://league-one.jp/player/484372,,,,,
Daigo Hashimoto,橋本 大吾,HO,東芝ブレイブルーパス東京（2025-26）,174,103,1994.01.28,31,深谷高校,筑波大学,深谷高校 筑波大学,A,65,https://league-one.jp/player/484373,,,'16 U23、日本代表3CAP,,
Futoshi Mori,森 太志,HO,東芝ブレイブルーパス東京（2025-26）,174,103,1988.04.25,37,仙台育英学園高校,帝京大学,仙台育英学園高校 帝京大学,A,13,https://league-one.jp/player/484374,,,日本代表2CAP,,
Yuta Kokaji,小鍜治 悠太,PR,東芝ブレイブルーパス東京（2025-26）,176,109,1998.07.08,27,大阪産業大学附属高校,天理大学,大阪産業大学附属高校 天理大学,A,63,https://league-one.jp/player/484375,,,'25 XV,,
Teruo Makabe,眞壁 照男,PR,東芝ブレイブルーパス東京（2025-26）,172,110,1996.05.04,29,桐蔭学園高校,立教大学,桐蔭学園高校 立教大学,A,41,https://league-one.jp/player/484376,,,,,
Masataka Mikami,三上 正貴,PR,東芝ブレイブルーパス東京（2025-26）,178,111,1988.06.04,37,青森工業高校,東海大学,青森工業高校 東海大学,A,55,https://league-one.jp/player/484377,,,'07 U20、日本代表35CAP,,
Motoki Tanaka,田中 元珠,SH,東芝ブレイブルーパス東京（2025-26）,180,83,2001.04.18,24,オタゴボーイズハイスクール,,オタゴボーイズハイスクール,A,4,https://league-one.jp/player/484378,,,,,
Rob Thompson,ロブ ・トンプソン,CTB,東芝ブレイブルーパス東京（2025-26）,184,103,1991.08.29,34,パーマストンノースボーイズハイスクール,,パーマストンノースボーイズハイスクール,A,51,https://league-one.jp/player/484379,,,,,
Makoto Iwafuchi,岩渕 誠,WTB,東芝ブレイブルーパス東京（2025-26）,182,90,2000.04.20,25,新潟高校,防衛大学校,新潟高校 防衛大学校,A,0,https://league-one.jp/player/484380,,,,,
Michael Collins,マイケル ・コリンズ,UTB,東芝ブレイブルーパス東京（2025-26）,187,94,1993.06.03,32,オタゴボーイズハイスクール,オタゴ大学,オタゴボーイズハイスクール オタゴ大学,B,27,https://league-one.jp/player/484381,,,,,
Richie Mounga,リッチー ・モウンガ,SO,東芝ブレイブルーパス東京（2025-26）,176,83,1994.05.25,31,RiccartonHighSchool,St.Andrew'sCollege,RiccartonHighSchool St.Andrew'sCollege,C,36,https://league-one.jp/player/484382,,,,,
Shannon Frizell,シャノン ・フリゼル,FL,東芝ブレイブルーパス東京（2025-26）,195,114,1994.02.11,31,'Apifo'ouCollege,,'Apifo'ouCollege,C,36,https://league-one.jp/player/484383,,,,,
Shuto Harabuchi,原渕 修人,PR,東芝ブレイブルーパス東京（2025-26）,177,108,2002.03.07,23,摂津高校,摂南大学,大阪府立摂津高校 摂南大学,A,0,https://league-one.jp/player/484384,,,,,
Vea Taumoefolau,ヴェア ・タモエフォラウ,PR,東芝ブレイブルーパス東京（2025-26）,186,123,2001.11.05,24,札幌山の手高校,京都産業大学,札幌山の手高校 京都産業大学,A,3,https://league-one.jp/player/484385,,,,,
Senfu Kamei,亀井 茜風,LO,東芝ブレイブルーパス東京（2025-26）,193,110,2001.06.12,24,長崎北陽台高校,明治大学,長崎県立長崎北陽台高等学校 明治大学,A,0,https://league-one.jp/player/484386,,,,,
Rye On Yoon,尹 礼温,FL,東芝ブレイブルーパス東京（2025-26）,184,104,2001.06.30,24,大阪朝鮮高校,帝京大学,大阪朝鮮高校 帝京大学,A,0,https://league-one.jp/player/484387,,,,,
Afu Ofeina,アフ ・オフィナ,FL,東芝ブレイブルーパス東京（2025-26）,187,113,2000.06.18,25,東海大学付属福岡高校,東海大学,東海大学付属福岡高等学校 東海大学,A,3,https://league-one.jp/player/484388,,,,,
Shotaro Ikedo,池戸 将太郎,SH,東芝ブレイブルーパス東京（2025-26）,180,90,2001.06.03,24,東海大学付属相模高校,明治大学,東海大学付属相模高等学校 明治大学,A,4,https://league-one.jp/player/484389,,,,,
Rei Ishioka,石岡 玲英,WTB,東芝ブレイブルーパス東京（2025-26）,177,85,2001.09.22,24,御所実業高校,法政大学,奈良県立御所実業高等学校 法政大学,A,1,https://league-one.jp/player/484390,,,,,
Stephanus Du Toit,ステファーナス ・ドゥトイ,UTB,東芝ブレイブルーパス東京（2025-26）,185,96,2001.03.23,24,PaarlGimnasiumHighSchool,流通経済大学,PaarlGimnasiumHighSchool 流通経済大学,A,0,https://league-one.jp/player/484391,,,,,
Shohei Ito,伊藤 鐘平,LO,東芝ブレイブルーパス東京（2025-26）,190,108,1997.05.01,28,札幌山の手高校,京都産業大学,札幌山の手高校 京都産業大学,A,56,https://league-one.jp/player/485501,,,'17 U20、'25 XV,,
Mark Telea,マーク ・テレア,WTB,トヨタヴェルブリッツ（2025-26）,186,94,1996.12.06,29,マッセーハイスクール,,マッセーハイスクール,C,3,https://league-one.jp/player/484444,,,,,
Hamdahn Tuipulotu,ハムダン ・トゥイプロトゥ,PR,トヨタヴェルブリッツ（2025-26）,182,125,2000.03.21,25,セント・ピーターズ,カレッジ,セント・ピーターズ カレッジ,B,2,https://league-one.jp/player/484445,,,,,
Harrison Goggin,ハリソン ・ゴギン,LO,トヨタヴェルブリッツ（2025-26）,206,126,2001.05.22,24,セントジョセフズナジーカレッジ,,セントジョセフズナジーカレッジ,B,1,https://league-one.jp/player/484446,,,,,
Schalk Erasmus,スカルク ・エラスマス,HO,トヨタヴェルブリッツ（2025-26）,184,109,1998.04.16,27,ステレンボッシュカレッジ,,ステレンボッシュカレッジ,B,16,https://league-one.jp/player/484447,,,,,
Jone Kerevi,ジョネ ・ケレビ,HO,トヨタヴェルブリッツ（2025-26）,184,108,1998.08.22,27,天理大学高校,,天理大学,A,9,https://league-one.jp/player/484448,,,,,
Aidan Morgan,エイダン ・モーガン,SO,トヨタヴェルブリッツ（2025-26）,172,81,2001.06.07,24,キングスカレッジ,,キングスカレッジ,B,0,https://league-one.jp/player/484449,,,,,
Semisi Tupou,セミシ ・トゥポウ,WTB,トヨタヴェルブリッツ（2025-26）,190,94,1999.06.29,26,セントジョセフナッジー,,セントジョセフナッジー,A,34,https://league-one.jp/player/484450,,,,,
Keito Aoki,青木 恵斗,FL,トヨタヴェルブリッツ（2025-26）,187,110,2002.06.14,23,桐蔭学園高校,帝京大学,桐蔭学園 帝京,A,11,https://league-one.jp/player/484451,,,'24 XV、'25 XV,,
Hanjiro Hirai,平井 半次郎,PR,トヨタヴェルブリッツ（2025-26）,180,108,2002.12.13,23,御所実業高校,帝京大学,御所実業 帝京,A,0,https://league-one.jp/player/484452,,,,,
Nicholas McCurran,ニコラス ・マクカラン,CTB,トヨタヴェルブリッツ（2025-26）,189,94,1996.06.13,29,ハミルトンボーイズ,帝京大学,ハミルトンボーイズ 帝京,A,53,https://league-one.jp/player/484453,,,日本代表7CAP,,
Rikiya Matsuda,松田 力也,SO,トヨタヴェルブリッツ（2025-26）,181,92,1994.05.03,31,伏見工業高校,帝京大学,伏見工業 帝京,A,59,https://league-one.jp/player/484454,,,'13 U23、日本代表39CAP,,
Issa Yamakawa,山川 一瑳,LO,トヨタヴェルブリッツ（2025-26）,190,103,2000.07.05,25,常翔学園高校,帝京大学,常翔学園 帝京,A,2,https://league-one.jp/player/484455,,,'20 U23,,
Dick Wilson,ディック ・ウィルソン,CTB,トヨタヴェルブリッツ（2025-26）,180,96,1996.09.02,29,アオレレ,,アオレレ,A,33,https://league-one.jp/player/484456,,,,,
Kaisei Tamura,田村 魁世,SH,トヨタヴェルブリッツ（2025-26）,171,80,1999.12.15,26,桐蔭学園高校,同志社大学,桐蔭学園 同志社,A,5,https://league-one.jp/player/484457,,,'17 高校、'19 U20、'19 U23,,
Ryusei Koike,小池 隆成,FL,トヨタヴェルブリッツ（2025-26）,188,106,1999.11.18,26,東京高校,東海大学,東京 東海,A,19,https://league-one.jp/player/484458,,,'19 U20、'19 U23、'20 U23,,
Ryunosuke Momoji,百地 龍之介,PR,トヨタヴェルブリッツ（2025-26）,175,108,1999.09.03,26,東海大大阪仰星高校,立命館大学,東海大仰星 立命館,A,17,https://league-one.jp/player/484459,,,'17 高校、'18 U20、'19 U20、'19 U23,,
Taichi Takahashi,高橋 汰地,WTB,トヨタヴェルブリッツ（2025-26）,180,91,1996.06.24,29,常翔学園高校,明治大学,常翔学園 明治,A,55,https://league-one.jp/player/484460,,,日本代表2CAP,,
Yuki Okada,岡田 優輝,CTB,トヨタヴェルブリッツ（2025-26）,181,92,1995.07.13,30,大阪桐蔭高校,帝京大学,大阪桐蔭 帝京,A,33,https://league-one.jp/player/484461,,,'15 U20、'15 U23,,
Masahiro Kitamura,北村 将大,SO,トヨタヴェルブリッツ（2025-26）,171,80,1998.08.29,27,御所実業高校,帝京大学,御所実業 帝京,A,3,https://league-one.jp/player/484462,,,,,
Tiaan Falcon,ティアーン ・ファルコン,FB,トヨタヴェルブリッツ（2025-26）,181,90,1997.06.19,28,リンディスファーンカレッジ,,リンディスファーンカレッジ,A,40,https://league-one.jp/player/484463,,,,,
Jongchu Ryang,梁 正秋,SH,トヨタヴェルブリッツ（2025-26）,171,76,1992.12.14,33,大阪朝鮮高校,京都産業大学,大阪朝鮮 京都産業,A,6,https://league-one.jp/player/484464,,,,,
Kaito Shigeno,茂野 海人,SH,トヨタヴェルブリッツ（2025-26）,170,78,1990.11.21,35,江の川高校,大東文化大学,江の川 大東文化,A,44,https://league-one.jp/player/484465,,,日本代表16CAP,,
Kazuki Himeno,姫野 和樹,FL,トヨタヴェルブリッツ（2025-26）,187,109,1994.07.27,31,春日丘高校,帝京大学,春日丘 帝京,A,52,https://league-one.jp/player/484466,,,'12 高校、'13 U23、日本代表36CAP,,
Ryusei Kato,加藤 竜聖,HO,トヨタヴェルブリッツ（2025-26）,178,101,1997.01.14,28,石見智翠館高校,東海大学,石見智翠館 東海,A,46,https://league-one.jp/player/484467,,,,,
Yoshikatsu Hikosaka,彦坂 圭克,HO,トヨタヴェルブリッツ（2025-26）,178,105,1991.01.18,34,春日丘高校,筑波大学,春日丘 筑波,A,58,https://league-one.jp/player/484468,,,'11 U20,,
Gaku Shimizu,清水 岳,PR,トヨタヴェルブリッツ（2025-26）,174,107,1998.11.22,27,大阪桐蔭高校,帝京大学,大阪桐蔭 帝京,A,28,https://league-one.jp/player/484469,,,,,
Yusuke Kizu,木津 悠輔,PR,トヨタヴェルブリッツ（2025-26）,178,115,1995.12.02,30,由布高校,天理高校,由布 天理,A,41,https://league-one.jp/player/484470,,,'17 U23、日本代表6CAP,,
