英語名,選手名,ポジション,所属チーム,身長,体重,生年月日,年齢,高校,大学,出身校・チーム歴(全文),カテゴリ,リーグワンキャップ数,URL,Text_Detail,キャリア遍歴,代表キャップ数,International_Caps,Scraped_Url,Full_Career,選手名_カタカナ
Hamish MULLER,Hamish MULLER,LO,Reds,,,,,,,,A,0,https://all.rugby/player/hamish-muller,,Brothers Rugby Club (2020 - 2025) -> Queensland Reds (2025 - 2026),,,https://all.rugby/player/hamish-muller,Brothers Rugby Club (2020 - 2025) -> Queensland Reds (2025 - 2026),ヘイミッシュ・ミューラー
Josh CANHAM,Josh CANHAM,LO,Reds,202,119,2001.02.01,,,,,A,0,https://all.rugby/player/josh-canham,,Brighton Grammar School (2019 - 2020) -> Melbourne Rebels (2020 - 2024) -> Queensland Reds (2024 - 2026),,,https://all.rugby/player/josh-canham,Brighton Grammar School (2019 - 2020) -> Melbourne Rebels (2020 - 2024) -> Queensland Reds (2024 - 2026),ジョシュ・キャンハム
Lukhan SALAKAIA-LOTO,Lukhan SALAKAIA-LOTO,LO,Reds,198,124,1996.09.19,,,,,A,0,https://all.rugby/player/lukhan-lealaiaulolo-tui,,Queensland Reds (2015 - 2022) -> Northampton Saints (2022 - 2023) -> Melbourne Rebels (2023 - 2024) -> Queensland Reds (2024 - 2026),Samoa,Samoa,https://all.rugby/player/lukhan-lealaiaulolo-tui,Queensland Reds (2015 - 2022) -> Northampton Saints (2022 - 2023) -> Melbourne Rebels (2023 - 2024) -> Queensland Reds (2024 - 2026),ルカン・サラカイア＝ロト
Fraser MCREIGHT,Fraser MCREIGHT,Back row,Reds,186,108,1999.02.19,,,,,A,0,https://all.rugby/player/fraser-mcreight,,Queensland Reds (2018 - 2026),Australia,Australia,https://all.rugby/player/fraser-mcreight,Queensland Reds (2018 - 2026),フレイザー-マクライト
Harry WILSON,Harry WILSON,Back row,Reds,196,115,1999.11.22,,,,,A,0,https://all.rugby/player/harry-wilson,,Queensland Reds (2018 - 2026),Australia,Australia,https://all.rugby/player/harry-wilson,Queensland Reds (2018 - 2026),ハリー-ウィルソン
Joe BRIAL,Joe BRIAL,Back row,Reds,195,114,2002.01.07,,,,,A,0,https://all.rugby/player/joe-brial,,Canterbury (2021 - 2023) -> Queensland Reds (2023 - 2026),,,https://all.rugby/player/joe-brial,Canterbury (2021 - 2023) -> Queensland Reds (2023 - 2026),ジョー・ブライアル
John BRYANT,John BRYANT,Back row,Reds,190,100,2003.02.20,,,,,A,0,https://all.rugby/player/john-bryant,,Souths Rugby (2022 - 2023) -> Queensland Reds (2023 - 2025) -> Benetton Rugby Trévise (2025 - 2025) -> Queensland Reds (2025 - 2025) -> Benetton Rugby Trévise (2026 - 2026) -> Queensland Reds (2026 - 2026),,,https://all.rugby/player/john-bryant,Souths Rugby (2022 - 2023) -> Queensland Reds (2023 - 2025) -> Benetton Rugby Trévise (2025 - 2025) -> Queensland Reds (2025 - 2025) -> Benetton Rugby Trévise (2026 - 2026) -> Queensland Reds (2026 - 2026),ジョン・ブライアント
Seru URU,Seru URU,Back row,Reds,197,115,1997.01.03,,,,,A,0,https://all.rugby/player/seru-uru,,Brisbane City (2018 - 2019) -> Queensland Reds (2019 - 2026),,,https://all.rugby/player/seru-uru,Brisbane City (2018 - 2019) -> Queensland Reds (2019 - 2026),セル・ウル
Vaiuta LATU,Vaiuta LATU,Back row,Reds,,116,2005..,,,,,A,0,https://all.rugby/player/vaiuta-latu,,Queensland Reds (2024 - 2026),,,https://all.rugby/player/vaiuta-latu,Queensland Reds (2024 - 2026),ヴァイウタ・ラトゥ
James MARTENS,James MARTENS,SH,Reds,187,92,2005..,,,,,A,0,https://all.rugby/player/james-martens,,Queensland Reds (2024 - 2026),,,https://all.rugby/player/james-martens,Queensland Reds (2024 - 2026),ジェームズ・マルテンス
Kalani THOMAS,Kalani THOMAS,SH,Reds,178,91,2002.04.18,,,,,A,0,https://all.rugby/player/kalani-thomas,,Queensland Reds (2019 - 2022) -> Auckland (2022 - 2022) -> Queensland Reds (2023 - 2023) -> Auckland (2023 - 2023) -> Queensland Reds (2023 - 2026),,,https://all.rugby/player/kalani-thomas,Queensland Reds (2019 - 2022) -> Auckland (2022 - 2022) -> Queensland Reds (2023 - 2023) -> Auckland (2023 - 2023) -> Queensland Reds (2023 - 2026),カラニ・トーマス
Louis WERCHON,Louis WERCHON,SH,Reds,178,85,2002.10.25,,,,,A,0,https://all.rugby/player/louis-werchon,,Brothers Rugby Club (2020 - 2022) -> Queensland Reds (2022 - 2022) -> West Brisbane Bulldogs (2022 - 2022) -> Queensland Reds (2023 - 2023) -> West Brisbane Bulldogs (2023 - 2023) -> Queensland Reds (2023 - 2025) -> Benetton Rugby Trévise (2025 - 2025) -> Queensland Reds (2025 - 2025) -> Benetton Rugby Trévise (2026 - 2026) -> Queensland Reds (2026 - 2026),,,https://all.rugby/player/louis-werchon,Brothers Rugby Club (2020 - 2022) -> Queensland Reds (2022 - 2022) -> West Brisbane Bulldogs (2022 - 2022) -> Queensland Reds (2023 - 2023) -> West Brisbane Bulldogs (2023 - 2023) -> Queensland Reds (2023 - 2025) -> Benetton Rugby Trévise (2025 - 2025) -> Queensland Reds (2025 - 2025) -> Benetton Rugby Trévise (2026 - 2026) -> Queensland Reds (2026 - 2026),ルイ・ウェルション
Tate MCDERMOTT,Tate MCDERMOTT,SH,Reds,179,77,1998.09.18,,,,,A,0,https://all.rugby/player/tate-mcdermott,,Queensland Reds (2017 - 2026),Australia,Australia,https://all.rugby/player/tate-mcdermott,Queensland Reds (2017 - 2026),テイト-マクダーモット
Ben VOLAVOLA,Ben VOLAVOLA,SO,Reds,191,95,1991.01.13,,,,,A,0,https://all.rugby/player/ben-volavola,,New South Wales Waratahs (2012 - 2014) -> Crusaders (2015 - 2016) -> Melbourne Rebels (2016 - 2017) -> North Harbour (2017 - 2017) -> Union Bordeaux-Bègles (2017 - 2017) -> North Harbour (2018 - 2018) -> Union Bordeaux-Bègles (2018 - 2018) -> Racing 92 (2018 - 2020) -> Union Sportive Arlequins Perpignanais (2020 - 2021) -> Racing 92 (2021 - 2023) -> Sporting Union Agenais (2023 - 2024) -> Leicester Tigers (2024 - 2025) -> Queensland Reds (2025 - 2026),Fiji,Fiji,https://all.rugby/player/ben-volavola,New South Wales Waratahs (2012 - 2014) -> Crusaders (2015 - 2016) -> Melbourne Rebels (2016 - 2017) -> North Harbour (2017 - 2017) -> Union Bordeaux-Bègles (2017 - 2017) -> North Harbour (2018 - 2018) -> Union Bordeaux-Bègles (2018 - 2018) -> Racing 92 (2018 - 2020) -> Union Sportive Arlequins Perpignanais (2020 - 2021) -> Racing 92 (2021 - 2023) -> Sporting Union Agenais (2023 - 2024) -> Leicester Tigers (2024 - 2025) -> Queensland Reds (2025 - 2026),ベン・ヴォラボラ
Carter GORDON,Carter GORDON,SO,Reds,189,94,2001.01.29,,,,,A,0,https://all.rugby/player/carter-gordon,,Queensland Country (2018 - 2019) -> Queensland Reds (2019 - 2020) -> Melbourne Rebels (2020 - 2024) -> Gold Coast Titans (2024 - 2025) -> Queensland Reds (2025 - 2026),,,https://all.rugby/player/carter-gordon,Queensland Country (2018 - 2019) -> Queensland Reds (2019 - 2020) -> Melbourne Rebels (2020 - 2024) -> Gold Coast Titans (2024 - 2025) -> Queensland Reds (2025 - 2026),カーター-ゴードン
Harry MCLAUGHLIN-PHILLIPS,Harry MCLAUGHLIN-PHILLIPS,SO,Reds,178,89,2004..,,,,,A,0,https://all.rugby/player/harry-mclaughlin-phillips,,Souths Rugby (2022 - 2023) -> Queensland Reds (2023 - 2026),,,https://all.rugby/player/harry-mclaughlin-phillips,Souths Rugby (2022 - 2023) -> Queensland Reds (2023 - 2026),ハリー-マクラフリン＝フィリップス
Isaac HENRY,Isaac HENRY,SO,Reds,183,94,1999.03.08,,,,,A,0,https://all.rugby/player/isaac-henry,,Brisbane City (2018 - 2019) -> West Brisbane Bulldogs (2019 - 2020) -> Queensland Reds (2020 - 2026),,,https://all.rugby/player/isaac-henry,Brisbane City (2018 - 2019) -> West Brisbane Bulldogs (2019 - 2020) -> Queensland Reds (2020 - 2026),アイザック-ヘンリー
Tom LYNAGH,Tom LYNAGH,SO,Reds,178,83,2003.04.14,,,,,A,0,https://all.rugby/player/tom-lynagh,,Harlequins (2019 - 2021) -> Queensland Reds (2021 - 2026),,,https://all.rugby/player/tom-lynagh,Harlequins (2019 - 2021) -> Queensland Reds (2021 - 2026),トム・ライナー
Dre PAKEHO,Dre PAKEHO,CTB,Reds,,,2005..,,,,,A,0,https://all.rugby/player/dre-pakeho,,Queensland Reds (2022 - 2026),,,https://all.rugby/player/dre-pakeho,Queensland Reds (2022 - 2026),ドレ・パケホ
Frankie GOLDSBROUGH,Frankie GOLDSBROUGH,CTB,Reds,187,101,2006..,,,,,A,0,https://all.rugby/player/frankie-goldsbrough,,Queensland Reds (2022 - 2026),,,https://all.rugby/player/frankie-goldsbrough,Queensland Reds (2022 - 2026),フランキー・ゴールズブロー
Hunter PAISAMI,Hunter PAISAMI,CTB,Reds,172,91,1998.04.10,,,,,A,0,https://all.rugby/player/hunter-paisami,,Brisbane City (2018 - 2019) -> Queensland Reds (2019 - 2026),Samoa,Samoa,https://all.rugby/player/hunter-paisami,Brisbane City (2018 - 2019) -> Queensland Reds (2019 - 2026),ハンター-パイサミ
Josh FLOOK,Josh FLOOK,CTB,Reds,186,92,2001.09.22,,,,,A,0,https://all.rugby/player/josh-flook,,Queensland Reds (2019 - 2025) -> Benetton Rugby Trévise (2025 - 2025) -> Queensland Reds (2025 - 2025) -> Benetton Rugby Trévise (2026 - 2026) -> Queensland Reds (2026 - 2026),,,https://all.rugby/player/josh-flook,Queensland Reds (2019 - 2025) -> Benetton Rugby Trévise (2025 - 2025) -> Queensland Reds (2025 - 2025) -> Benetton Rugby Trévise (2026 - 2026) -> Queensland Reds (2026 - 2026),ジョシュ・フルーク
Filipo DAUGUNU,Filipo DAUGUNU,Winger,Reds,181,101,1995.03.04,,,,,A,0,https://all.rugby/player/filipo-daugunu,,Queensland Reds (2017 - 2023) -> Melbourne Rebels (2023 - 2024) -> Queensland Reds (2024 - 2026),Fiji,Fiji,https://all.rugby/player/filipo-daugunu,Queensland Reds (2017 - 2023) -> Melbourne Rebels (2023 - 2024) -> Queensland Reds (2024 - 2026),フィリポ-ダウグヌ
Heremaia MURRAY,Heremaia MURRAY,Winger,Reds,188,94,2000.01.11,,,,,A,0,https://all.rugby/player/heremaia-murray,,Auckland (2020 - 2021) -> Northland Taniwha (2021 - 2023) -> Crusaders (2023 - 2023) -> Northland Taniwha (2023 - 2023) -> Crusaders (2024 - 2024) -> Northland Taniwha (2024 - 2024) -> Queensland Reds (2024 - 2026),,,https://all.rugby/player/heremaia-murray,Auckland (2020 - 2021) -> Northland Taniwha (2021 - 2023) -> Crusaders (2023 - 2023) -> Northland Taniwha (2023 - 2023) -> Crusaders (2024 - 2024) -> Northland Taniwha (2024 - 2024) -> Queensland Reds (2024 - 2026),ヘレマイア-マレー
Lachie ANDERSON,Lachie ANDERSON,Winger,Reds,188,97,1997.08.27,,,,,A,0,https://all.rugby/player/lachie-anderson,,Aussie 7's (2019 - 2019) -> Melbourne Rebels (2019 - 2019) -> Aussie 7's (2020 - 2020) -> Melbourne Rebels (2020 - 2024) -> Queensland Reds (2024 - 2026),,,https://all.rugby/player/lachie-anderson,Aussie 7's (2019 - 2019) -> Melbourne Rebels (2019 - 2019) -> Aussie 7's (2020 - 2020) -> Melbourne Rebels (2020 - 2024) -> Queensland Reds (2024 - 2026),ラキ・アンダーソン
Nick CONWAY,Nick CONWAY,Winger,Reds,186,88,2007..,,,,,A,0,https://all.rugby/player/nick-conway,,Queensland Reds (2024 - 2026),,,https://all.rugby/player/nick-conway,Queensland Reds (2024 - 2026),ニック・コンウェイ
Tim RYAN,Tim RYAN,Winger,Reds,186,88,2003.10.29,,,,,A,0,https://all.rugby/player/tim-ryan,,Brothers Rugby Club (2022 - 2023) -> Queensland Reds (2023 - 2026),,,https://all.rugby/player/tim-ryan,Brothers Rugby Club (2022 - 2023) -> Queensland Reds (2023 - 2026),ティム・ライアン
Will MCCULLOCH,Will MCCULLOCH,Winger,Reds,186,88,2004.01.05,,,,,A,0,https://all.rugby/player/will-mcculloch,,Queensland Reds (2023 - 2026),,,https://all.rugby/player/will-mcculloch,Queensland Reds (2023 - 2026),ウィル-マカロック
Jock CAMPBELL,Jock CAMPBELL,FB,Reds,186,91,1995.05.17,,,,,A,0,https://all.rugby/player/jock-campbell,,Queensland Reds (2018 - 2026),,,https://all.rugby/player/jock-campbell,Queensland Reds (2018 - 2026),ジョック・キャンベル
Treyvon PRITCHARD,Treyvon PRITCHARD,FB,Reds,187,90,2008.01.01,18,,,,A,0,https://all.rugby/player/treyvon-pritchard,,Anglican Church Grammar School (2024 - 2025) -> Queensland Reds (2025 - 2026),,,https://all.rugby/player/treyvon-pritchard,Anglican Church Grammar School (2024 - 2025) -> Queensland Reds (2025 - 2026),トレイヴォン・プリチャード
Finn MACKAY,Finn MACKAY,SO,Reds,189,84,2007..,,,,,A,0,https://all.rugby/player/finn-mackay,,Queensland Reds (2024 - 2026),,,https://all.rugby/player/finn-mackay,Queensland Reds (2024 - 2026),フィン・マッケイ
Xavier RUBENS,Xavier RUBENS,CTB,Reds,186,93,2005..,,,,,A,0,https://all.rugby/player/xavier-rubens,,Queensland Reds (2023 - 2026),,,https://all.rugby/player/xavier-rubens,Queensland Reds (2023 - 2026),ザビエル-ルーベンス
Nic LYNAGH,Nic LYNAGH,Winger,Reds,183,88,,,,,,A,0,https://all.rugby/player/nick-lynagh,,Harlequins (2025 - 2025) -> Queensland Reds (2025 - 2025) -> Harlequins (2026 - 2026) -> Queensland Reds (2026 - 2026),,,https://all.rugby/player/nick-lynagh,Harlequins (2025 - 2025) -> Queensland Reds (2025 - 2025) -> Harlequins (2026 - 2026) -> Queensland Reds (2026 - 2026),ニック・ライナー
Angus TA'AVAO,Angus TA'AVAO,PR,Highlanders,194,127,1990.03.22,,,,,A,0,https://all.rugby/player/angus-taavao-matau,,Blues (2013 - 2015) -> New South Wales Waratahs (2015 - 2017) -> Chiefs (2017 - 2019) -> Auckland (2019 - 2019) -> Chiefs (2020 - 2020) -> Auckland (2020 - 2020) -> Chiefs (2020 - 2021) -> Auckland (2021 - 2021) -> Chiefs (2022 - 2022) -> Auckland (2022 - 2022) -> Chiefs (2022 - 2022) -> Auckland (2022 - 2022) -> Chiefs (2023 - 2023) -> Auckland (2023 - 2023) -> Blues (2023 - 2023) -> Auckland (2023 - 2023) -> Blues (2024 - 2024) -> Auckland (2024 - 2024) -> Blues (2024 - 2024) -> Auckland (2024 - 2024) -> Blues (2025 - 2025) -> Auckland (2025 - 2025) -> Highlanders (2025 - 2026),New Zealand,New Zealand,https://all.rugby/player/angus-taavao-matau,Blues (2013 - 2015) -> New South Wales Waratahs (2015 - 2017) -> Chiefs (2017 - 2019) -> Auckland (2019 - 2019) -> Chiefs (2020 - 2020) -> Auckland (2020 - 2020) -> Chiefs (2020 - 2021) -> Auckland (2021 - 2021) -> Chiefs (2022 - 2022) -> Auckland (2022 - 2022) -> Chiefs (2022 - 2022) -> Auckland (2022 - 2022) -> Chiefs (2023 - 2023) -> Auckland (2023 - 2023) -> Blues (2023 - 2023) -> Auckland (2023 - 2023) -> Blues (2024 - 2024) -> Auckland (2024 - 2024) -> Blues (2024 - 2024) -> Auckland (2024 - 2024) -> Blues (2025 - 2025) -> Auckland (2025 - 2025) -> Highlanders (2025 - 2026),アンガス-タアヴァオ
Dan LIENERT-BROWN,Dan LIENERT-BROWN,PR,Highlanders,184,117,1993.02.09,,,,,A,0,https://all.rugby/player/dan-lienert-brown,,Crusaders (2013 - 2014) -> Highlanders (2014 - 2019) -> Canterbury (2019 - 2019) -> Highlanders (2020 - 2020) -> Canterbury (2020 - 2020) -> Highlanders (2020 - 2020) -> Canterbury (2020 - 2020) -> Highlanders (2021 - 2021) -> Canterbury (2021 - 2021) -> Highlanders (2021 - 2021) -> Canterbury (2021 - 2021) -> Highlanders (2022 - 2022) -> Canterbury (2022 - 2022) -> Highlanders (2022 - 2022) -> Canterbury (2022 - 2022) -> Highlanders (2023 - 2023) -> Canterbury (2023 - 2023) -> Highlanders (2023 - 2023) -> Canterbury (2023 - 2023) -> Highlanders (2024 - 2024) -> Canterbury (2024 - 2024) -> Highlanders (2024 - 2024) -> Canterbury (2024 - 2024) -> Highlanders (2025 - 2025) -> Canterbury (2025 - 2025) -> Highlanders (2025 - 2026),,,https://all.rugby/player/dan-lienert-brown,Crusaders (2013 - 2014) -> Highlanders (2014 - 2019) -> Canterbury (2019 - 2019) -> Highlanders (2020 - 2020) -> Canterbury (2020 - 2020) -> Highlanders (2020 - 2020) -> Canterbury (2020 - 2020) -> Highlanders (2021 - 2021) -> Canterbury (2021 - 2021) -> Highlanders (2021 - 2021) -> Canterbury (2021 - 2021) -> Highlanders (2022 - 2022) -> Canterbury (2022 - 2022) -> Highlanders (2022 - 2022) -> Canterbury (2022 - 2022) -> Highlanders (2023 - 2023) -> Canterbury (2023 - 2023) -> Highlanders (2023 - 2023) -> Canterbury (2023 - 2023) -> Highlanders (2024 - 2024) -> Canterbury (2024 - 2024) -> Highlanders (2024 - 2024) -> Canterbury (2024 - 2024) -> Highlanders (2025 - 2025) -> Canterbury (2025 - 2025) -> Highlanders (2025 - 2026),ダン-リエナート＝ブラウン
Ethan DE GROOT,Ethan DE GROOT,PR,Highlanders,190,128,1998.07.22,,,,,A,0,https://all.rugby/player/ethan-de-groot,,Southland Stags (2018 - 2019) -> Highlanders (2019 - 2019) -> Southland Stags (2019 - 2019) -> Highlanders (2020 - 2020) -> Southland Stags (2020 - 2020) -> Highlanders (2020 - 2023) -> Southland Stags (2023 - 2023) -> Highlanders (2024 - 2024) -> Southland Stags (2024 - 2024) -> Highlanders (2024 - 2026),New Zealand,New Zealand,https://all.rugby/player/ethan-de-groot,Southland Stags (2018 - 2019) -> Highlanders (2019 - 2019) -> Southland Stags (2019 - 2019) -> Highlanders (2020 - 2020) -> Southland Stags (2020 - 2020) -> Highlanders (2020 - 2023) -> Southland Stags (2023 - 2023) -> Highlanders (2024 - 2024) -> Southland Stags (2024 - 2024) -> Highlanders (2024 - 2026),イーサン-デ-グルート
Josh BARTLETT,Josh BARTLETT,PR,Highlanders,183,116,2002.12.28,,,,,A,0,https://all.rugby/player/josh-bartlett,,Bay of Plenty Steamers (2020 - 2021) -> Chiefs (2021 - 2021) -> Bay of Plenty Steamers (2021 - 2021) -> Chiefs (2022 - 2022) -> Bay of Plenty Steamers (2022 - 2023) -> Western Force (2023 - 2023) -> Bay of Plenty Steamers (2023 - 2023) -> Western Force (2024 - 2024) -> Bay of Plenty Steamers (2024 - 2024) -> Highlanders (2024 - 2024) -> Bay of Plenty Steamers (2024 - 2024) -> Highlanders (2025 - 2025) -> Bay of Plenty Steamers (2025 - 2025) -> Highlanders (2025 - 2026),,,https://all.rugby/player/josh-bartlett,Bay of Plenty Steamers (2020 - 2021) -> Chiefs (2021 - 2021) -> Bay of Plenty Steamers (2021 - 2021) -> Chiefs (2022 - 2022) -> Bay of Plenty Steamers (2022 - 2023) -> Western Force (2023 - 2023) -> Bay of Plenty Steamers (2023 - 2023) -> Western Force (2024 - 2024) -> Bay of Plenty Steamers (2024 - 2024) -> Highlanders (2024 - 2024) -> Bay of Plenty Steamers (2024 - 2024) -> Highlanders (2025 - 2025) -> Bay of Plenty Steamers (2025 - 2025) -> Highlanders (2025 - 2026),ジョシュ・バートレット
Rohan WINGHAM,Rohan WINGHAM,PR,Highlanders,189,117,2002.12.04,,,,,A,0,https://all.rugby/player/rohan-wingham,,Otago (2022 - 2023) -> Highlanders (2023 - 2023) -> Otago (2023 - 2023) -> Highlanders (2024 - 2024) -> Otago (2024 - 2024) -> Highlanders (2024 - 2024) -> Otago (2024 - 2024) -> Highlanders (2025 - 2025) -> Otago (2025 - 2025) -> Highlanders (2025 - 2026),,,https://all.rugby/player/rohan-wingham,Otago (2022 - 2023) -> Highlanders (2023 - 2023) -> Otago (2023 - 2023) -> Highlanders (2024 - 2024) -> Otago (2024 - 2024) -> Highlanders (2024 - 2024) -> Otago (2024 - 2024) -> Highlanders (2025 - 2025) -> Otago (2025 - 2025) -> Highlanders (2025 - 2026),ロハン・ウィンガム
Saula MA'U,Saula MA'U,PR,Highlanders,194,140,2000.04.29,,,,,A,0,https://all.rugby/player/saula-ma-u,,Otago (2020 - 2021) -> Highlanders (2021 - 2021) -> Otago (2021 - 2021) -> Highlanders (2022 - 2022) -> Otago (2022 - 2022) -> Highlanders (2022 - 2022) -> Otago (2022 - 2022) -> Highlanders (2023 - 2023) -> Otago (2023 - 2023) -> Highlanders (2023 - 2023) -> Otago (2023 - 2023) -> Highlanders (2024 - 2024) -> Otago (2024 - 2024) -> Highlanders (2024 - 2024) -> Otago (2024 - 2024) -> Highlanders (2025 - 2025) -> Otago (2025 - 2025) -> Highlanders (2025 - 2026),,,https://all.rugby/player/saula-ma-u,Otago (2020 - 2021) -> Highlanders (2021 - 2021) -> Otago (2021 - 2021) -> Highlanders (2022 - 2022) -> Otago (2022 - 2022) -> Highlanders (2022 - 2022) -> Otago (2022 - 2022) -> Highlanders (2023 - 2023) -> Otago (2023 - 2023) -> Highlanders (2023 - 2023) -> Otago (2023 - 2023) -> Highlanders (2024 - 2024) -> Otago (2024 - 2024) -> Highlanders (2024 - 2024) -> Otago (2024 - 2024) -> Highlanders (2025 - 2025) -> Otago (2025 - 2025) -> Highlanders (2025 - 2026),サウラ・マウ
Sefo KAUTAI,Sefo KAUTAI,PR,Highlanders,189,133,1996.08.16,,,,,A,0,https://all.rugby/player/sosefo-kautai,,Chiefs (2016 - 2018) -> Waikato Mooloos (2018 - 2018) -> Chiefs (2019 - 2019) -> Waikato Mooloos (2019 - 2020) -> Brumbies (2020 - 2020) -> Waikato Mooloos (2020 - 2020) -> Brumbies (2021 - 2021) -> Waikato Mooloos (2021 - 2021) -> Brumbies (2021 - 2021) -> Waikato Mooloos (2021 - 2021) -> Brumbies (2022 - 2022) -> Waikato Mooloos (2022 - 2022) -> Brumbies (2022 - 2023) -> Waikato Mooloos (2023 - 2023) -> Brumbies (2024 - 2024) -> Waikato Mooloos (2024 - 2024) -> Highlanders (2024 - 2024) -> Waikato Mooloos (2024 - 2024) -> Highlanders (2025 - 2025) -> Waikato Mooloos (2025 - 2025) -> Highlanders (2025 - 2026),,,https://all.rugby/player/sosefo-kautai,Chiefs (2016 - 2018) -> Waikato Mooloos (2018 - 2018) -> Chiefs (2019 - 2019) -> Waikato Mooloos (2019 - 2020) -> Brumbies (2020 - 2020) -> Waikato Mooloos (2020 - 2020) -> Brumbies (2021 - 2021) -> Waikato Mooloos (2021 - 2021) -> Brumbies (2021 - 2021) -> Waikato Mooloos (2021 - 2021) -> Brumbies (2022 - 2022) -> Waikato Mooloos (2022 - 2022) -> Brumbies (2022 - 2023) -> Waikato Mooloos (2023 - 2023) -> Brumbies (2024 - 2024) -> Waikato Mooloos (2024 - 2024) -> Highlanders (2024 - 2024) -> Waikato Mooloos (2024 - 2024) -> Highlanders (2025 - 2025) -> Waikato Mooloos (2025 - 2025) -> Highlanders (2025 - 2026),セフォ・カウタイ
Henry BELL,Henry BELL,HO,Highlanders,178,107,1999.08.22,,,,,A,0,https://all.rugby/player/henry-bell,,Otago (2019 - 2022) -> Utah Warriors (2022 - 2022) -> Otago (2022 - 2022) -> Utah Warriors (2023 - 2023) -> Otago (2023 - 2023) -> Highlanders (2023 - 2023) -> Otago (2023 - 2023) -> Highlanders (2024 - 2024) -> Otago (2024 - 2024) -> Highlanders (2024 - 2024) -> Otago (2024 - 2024) -> Highlanders (2025 - 2025) -> Otago (2025 - 2025) -> Highlanders (2025 - 2026),,,https://all.rugby/player/henry-bell,Otago (2019 - 2022) -> Utah Warriors (2022 - 2022) -> Otago (2022 - 2022) -> Utah Warriors (2023 - 2023) -> Otago (2023 - 2023) -> Highlanders (2023 - 2023) -> Otago (2023 - 2023) -> Highlanders (2024 - 2024) -> Otago (2024 - 2024) -> Highlanders (2024 - 2024) -> Otago (2024 - 2024) -> Highlanders (2025 - 2025) -> Otago (2025 - 2025) -> Highlanders (2025 - 2026),ヘンリー-ベル
Jack TAYLOR,Jack TAYLOR,HO,Highlanders,181,106,2003.06.25,,,,,A,0,https://all.rugby/player/jack-taylor,,Southland Stags (2021 - 2022) -> Highlanders (2022 - 2022) -> Southland Stags (2022 - 2022) -> Highlanders (2023 - 2023) -> Southland Stags (2023 - 2023) -> Highlanders (2023 - 2023) -> Southland Stags (2023 - 2023) -> Highlanders (2024 - 2024) -> Southland Stags (2024 - 2024) -> Highlanders (2024 - 2024) -> Southland Stags (2024 - 2024) -> Highlanders (2025 - 2025) -> Southland Stags (2025 - 2025) -> Highlanders (2025 - 2026),,,https://all.rugby/player/jack-taylor,Southland Stags (2021 - 2022) -> Highlanders (2022 - 2022) -> Southland Stags (2022 - 2022) -> Highlanders (2023 - 2023) -> Southland Stags (2023 - 2023) -> Highlanders (2023 - 2023) -> Southland Stags (2023 - 2023) -> Highlanders (2024 - 2024) -> Southland Stags (2024 - 2024) -> Highlanders (2024 - 2024) -> Southland Stags (2024 - 2024) -> Highlanders (2025 - 2025) -> Southland Stags (2025 - 2025) -> Highlanders (2025 - 2026),ジャック-テイラー
Soane VIKENA,Soane VIKENA,HO,Highlanders,183,112,2001.07.01,,,,,A,0,https://all.rugby/player/soane-vikena,,Auckland (2019 - 2020) -> Blues (2020 - 2020) -> Auckland (2020 - 2020) -> Blues (2021 - 2021) -> Auckland (2021 - 2021) -> Blues (2021 - 2021) -> Auckland (2021 - 2021) -> Blues (2022 - 2022) -> Auckland (2022 - 2022) -> Blues (2022 - 2022) -> Auckland (2022 - 2022) -> Blues (2023 - 2023) -> Auckland (2023 - 2023) -> Blues (2023 - 2023) -> Auckland (2023 - 2023) -> Blues (2024 - 2024) -> Auckland (2024 - 2024) -> Highlanders (2024 - 2024) -> Auckland (2024 - 2024) -> Highlanders (2025 - 2025) -> Auckland (2025 - 2025) -> Highlanders (2025 - 2026),,,https://all.rugby/player/soane-vikena,Auckland (2019 - 2020) -> Blues (2020 - 2020) -> Auckland (2020 - 2020) -> Blues (2021 - 2021) -> Auckland (2021 - 2021) -> Blues (2021 - 2021) -> Auckland (2021 - 2021) -> Blues (2022 - 2022) -> Auckland (2022 - 2022) -> Blues (2022 - 2022) -> Auckland (2022 - 2022) -> Blues (2023 - 2023) -> Auckland (2023 - 2023) -> Blues (2023 - 2023) -> Auckland (2023 - 2023) -> Blues (2024 - 2024) -> Auckland (2024 - 2024) -> Highlanders (2024 - 2024) -> Auckland (2024 - 2024) -> Highlanders (2025 - 2025) -> Auckland (2025 - 2025) -> Highlanders (2025 - 2026),ソアネ・ヴィケナ
